	m [g]	h [mm]	d1 [mm]	d2 [mm]	V [g]	Odruda	Datum
H06	134.7	58.6	66.7	66.4	148.1		
H07	225.1	66.5	81	78.6	151.4		
H08	136.8	50.6	67.1	68.1	149.4		
H09	144.7	53.8	69.2	67.1	154.6		
H10	147.5	55.8	72	69.5	164.9		
H11	203.9	64.4	76.4	78.1	231.5		
H12	142.3	61.9	69.2	73	157.9		
H13	136.2	54.4	68.1	67.5	145.1		
H14	155.3	54.3	76	73.5	174.2		
H15	143.3	50.9	69.3	66.9	157.5		
H16	178.6	61.5	74.6	72.8	198.7		
H17	163.3	60.4	71.6	70.6	184		
H18	165.4	58.9	68.8	72.1	189.3		
H19	154.7	60.1	71.5	70.6	173.6		
H20	178.2	60.3	70	76.2	198.4		
I01	185.8	64.9	73.8	79.1	218.8	B 273	16.10.2023
I02	235.1	73.9	84.9	79.4	274.5		
I03	223.2	67	84.1	79.3	164.7		
I04	197	65.8	75.9	79	235		
I05	241.3	75.5	83.2	84	288.7		
I06	173.7	61.4	74.2	75.5	193		
I07	223.6	73.4	75.7	79.4	259.5		
I08	254.7	74.6	82.2	81	297.9		
I09	183.1	61.5	76.7	71.5	210		
I10	228.2	70.4	803	81	276.6		
I11	233	61.7	835	86.2	278.4		
I12	176.2	58.7	66.5	77.4	178.6		
I13	188.6	59.6	75.9	78.2	222.6		
I14	232	70	81.9	81.5	278		
I15	202.2	84.1	76.5	84	228.4		
I16	205.9	65.8	84.5	76.5	243.9		
I17	200.5	69.8	78.9	76	228.9		
I18	227.6	68.5	74.2	80.4	275.2		
I19	178.4	62.3	75.1	76.7	213.6		
I20	180.1	73.2	76.4	76.6	212.9		
