Label,variety,hmotnost (g),vyska (mm),sirka (mm),sirka (mm),Objem,Hustota,Ek,c11,c12,d. area (mm2),id,Fa,k_a,Fb,Fa/Fb,Ft,rear_slope
C13,HL143,228.6,68.5,81.7,82.5,,,0.119,0.294002618657958,0.307311815601136,62.6190369601526,,,,,,,
C14,HL143,210.4,65.9,81,77.4,,,0.119,0.28097506512839,0.298407782729977,85.078180740177,,,,,,,
C15,HL143,169.2,62.7,74,74.5,,,0.119,0.327513342357012,0.373109374170895,,,,,,,,
C16,HL143,229.7,66.5,82.8,81.6,,,0.119,0.294002618657958,0.320901454613614,64.8907813649561,,,,,,,
C17,HL143,229,70.3,85.1,83.6,,,0.119,0.302844196542596,0.348917127010537,70.8019496427894,,,,,,,
C18,HL143,206.8,66.6,80.6,74.4,,,0.119,0.298407782729977,0.330116410386143,66.8046326331775,,,,,,,
C19,HL143,210.5,73.4,80.6,73.6,,,0.119,0.322926221369047,0.360480465922459,77.1664191993599,,,,,,,
C20,HL143,211.4,60.7,83.6,79.5,,,0.119,0.307311815601136,0.316340489912851,73.9444153824403,,,,,,,
D01,B143,183.3,64.6,76,71.2,206.820461384152,0.886275945683802,0.119,0.214583370045833,0.218356923539637,59.6067034720614,,,,,,,
D02,B143,222.5,71.4,81,78.6,266.599799398195,0.834584273890143,0.119,0.207131799928001,0.207131799928001,64.5073436401178,,,,,,,
D03,B143,218.5,71.3,79.7,80.1,262.988966900702,0.830833333333333,0.119,0.178604699466839,0.147794300655148,22.3814880365871,,,,,,,
D04,B143,216.6,71.5,80.4,80.4,259.87963891675,0.833462755692783,0.119,0.222162272704677,0.24166461746428,51.3577427728194,,,,,,,
D05,B143,207.9,65.5,80.7,79.2,246.53961885657,0.843272172497966,0.119,0.182058283750446,0.203453857439862,43.2081717082264,,,,,,,
D06,B143,192.6,63.6,79.8,75.3,224.272818455366,0.858775491949911,0.119,0.257834869483497,0.278753931796109,54.5197102820355,,,,,,,
D07,B143,170.4,65.4,70.2,71.8,201.303911735206,0.846481315396114,0.119,0.235635712798206,0.270292428667012,44.5715622424322,,,,,,,
D08,B143,270.5,77.1,86.6,83.6,327.28184553661,0.82650475022985,0.119,0.272345508568893,0.324940768241539,,,,,,,,
D09,B143,191.2,67.7,70.6,78.9,230.190571715145,0.830616122004357,0.119,0.218356923539637,0.229868206294385,40.9895385772969,,,,,,,
D10,B143,223.6,72,81,75.6,270.110330992979,0.827809877460082,0.119,0.24166461746428,0.257834869483497,61.3631463789375,,,,,,,
D11,B143,190.1,65.3,82,76.3,228.284854563691,0.832731546572935,0.119,0.229868206294385,0.214583370045833,58.7114144535537,,,,,,,
D12,B143,229.2,70.6,82.9,73.6,274.122367101304,0.836122941822173,0.119,0.24166461746428,0.287340213733381,41.4119036041116,,,,,,,
D13,B143,229.7,68.2,79.5,80.6,268.806419257773,0.85451828358209,0.119,0.266108574579285,0.283031496653737,51.598758763377,,,,,,,
D14,B143,231.2,73.5,84.6,77.1,278.736208625878,0.829458078445484,0.119,0.203453857439862,0.233768714052494,85.7836865642621,,,,,,,
D15,B143,192,70.7,74.7,75,230.190571715145,0.834091503267974,0.119,0.278753931796109,0.365311960823177,62.9161583685081,,,,,,,
D16,B143,262.6,77.2,855,82.6,321.163490471414,0.817652092442224,0.119,0.245659934561383,0.291680040167488,61.0275133834291,,,,,,,
D17,B143,197,63.5,75,79,230.290872617854,0.855439895470383,0.119,0.304885742281026,0.379988253409742,48.6586618189408,,,,,,,
D18,B143,226.6,79.7,91.4,88.4,268.204613841525,0.844877337322364,0.119,0.233768714052494,0.283031496653737,66.5633541500043,,,,,,,
D19,B143,201.9,68.4,76.3,77.5,239.217652958877,0.844001257861635,0.119,0.283031496653737,0.24166461746428,54.7511155635549,,,,,,,
D20,B143,262.4,67.3,83.9,84.6,318.154463390171,0.824756620428752,0.119,0.322926221369047,0.355679352701693,52.2721092462008,,,,,,,
E01,B32,233.3,73,78,85.2,284.052156469408,0.821328036723164,0.119,0.255769566469558,0.268230330934418,,E_01,28.27991,29.3737663628327,58.1641293333333,0.486208773760377,42.025895575,-4.41550140496049
E02,B32,248.8,74.2,81.2,83.7,301.003009027081,0.826569810063312,0.119,0.247620707615811,0.302844196542596,96.3622449875715,E_02,36.7427736666667,39.4090075292446,70.345534,0.522318498096363,50.335018560241,2.69358268896357
E03,B32,245.4,66.7,86.8,84.3,288.866599799398,0.849527083333333,0.119,0.259891532474145,0.289628748507802,59.694532094439,E_03,45.0525946666667,44.5162020550881,71.4682866666667,0.630385822410928,44.1199606656805,-0.338166181757007
E04,B32,258.2,80.9,82.3,83.3,311.835506519559,0.828000643293664,0.119,0.270292428667012,0.287340213733381,80.8387854594924,E_04,32.216141,34.1151654967509,58.0196623333333,0.55526246972815,46.0285918321918,-5.71168697753514
E05,B32,175.5,64.5,71.7,74.7,206.619859578736,0.849385922330097,0.119,0.231704420038188,0.220102210293401,57.0880932151129,E_05,44.689778,44.7994414353745,65.896742,0.678178869601778,41.954633697479,-1.35841529106472
E06,B32,235,71.4,77.8,83.5,291.073219658977,0.807356995175741,0.119,0.239598884866597,0.239598884866597,78.3285090450525,E_06,49.6320006666667,45.6194011818722,68.5716903333333,0.72379724672676,42.0143749449838,-4.35642226621491
E07,B32,229.4,74.9,78,84,277.231695085256,0.827466714905934,0.119,0.169786938334021,0.148975060774795,34.1397398403033,E_07,41.788564,42.3773597620305,58.2848483333333,0.716971308924226,40.2741886327078,-2.07891089394696
