Label,variety,hmotnost (g),vyska (mm),sirka (mm),sirka (mm),Objem,Hustota,Ek,c11,c12,d. area (mm2),id,Fa,k_a,Fb,Fa/Fb,Ft,rear_slope
I08,B273,254.7,74.6,82.2,81,298.796389167502,0.852419939577039,0.119,0.257834869483497,0.266108574579285,55.7961404018465,,,,,,,
I09,B273,183.1,61.5,76.7,71.5,210.631895687061,0.869289047619048,0.119,0.259891532474145,0.270292428667012,58.0783971255053,I_09,61.380664,51.9141046250507,84.9155916666667,0.722843270537969,52.6875525098592,-1.45310780518943
I10,B273,228.2,70.4,803,81,277.432296890672,0.82254302241504,0.119,0.199807858893999,0.245659934561383,68.3346030481608,,,,,,,
I11,B273,233,61.7,835,86.2,279.237713139418,0.834414511494253,0.119,0.264045134515178,0.311810595097945,101.863595990491,I_11,47.3409783333333,44.566186066444,89.8973943333333,0.526611240341364,41.5553321151833,-3.13685033493667
I12,B273,176.2,58.7,66.5,77.4,179.13741223671,0.983602463605823,0.119,0.332131173015808,0.355679352701693,77.0400193287647,,,,,,,
I13,B273,188.6,59.6,75.9,78.2,223.269809428285,0.844717879604672,0.119,0.264045134515178,0.300452848081772,64.3485867589648,I_13,43.7827363333333,40.3603479143404,65.2410333333333,0.671092012133468,41.6435315714286,-0.707359595058347
I14,B273,232,70,81.9,81.5,278.836509528586,0.832028776978417,0.119,0.233768714052494,0.257834869483497,85.5557967457564,,,,,,,
I15,B273,202.2,84.1,76.5,84,229.087261785356,0.882633099824869,0.119,0.199807858893999,0.207131799928001,58.8351301778506,I_15,40.9646403333333,43.5817596197155,75.3451476666667,0.543693145503734,54.2379113029197,-10.1021105415441
I16,B273,205.9,65.8,84.5,76.5,244.633901705115,0.841665846658467,0.119,0.220102210293401,0.296050932778998,83.503043930597,,,,,,,
I17,B273,200.5,69.8,78.9,76,229.588766298897,0.873300567933596,0.119,0.255769566469558,0.270292428667012,67.0534151864574,I_17,69.5466776666667,56.8225283095084,80.840171,0.860298497719242,52.2809772849462,0.159880973353336
I18,B273,227.6,68.5,74.2,80.4,276.028084252758,0.824553779069768,0.119,0.233768714052494,0.245659934561383,75.755434154034,,,,,,,
I19,B273,178.4,62.3,75.1,76.7,214.242728184554,0.832700374531835,0.119,0.276695338690604,0.327513342357012,72.2649855686103,I_19,41.5952816666667,38.7244675253124,84.2367946666667,0.493789938604185,41.5652469638554,-3.1085468485632
I20,B273,180.1,73.2,76.4,76.6,213.540621865597,0.843399248473462,0.119,0.276695338690604,0.296050932778998,70.987806248323,,,,,,,
