label,apple ID,variety,repetition,area (mm2),r,g,b
A,0,HL593/97,1,50.17836935559152,186.82920120502217,167.27115805624683,70.66847856594877
A,1,HL593/97,1,61.075649645243885,181.62209515048244,172.67202249657637,62.69023301518937
A,2,HL593/97,1,31.879046685811858,177.90997333537953,170.7214218573155,86.01127970995032
A,3,HL593/97,1,61.03166057995897,177.99037418110206,152.5944495800008,55.13973513926289
A,4,HL593/97,1,47.34658035619223,187.05446884979176,166.6836047062252,60.075875132043855
A,5,HL593/97,1,48.41353594329641,179.3656566616384,164.2633535651079,71.17948474302479
A,6,HL593/97,1,43.86128551235321,183.28675773967788,164.0046300540937,59.9525534060695
A,7,HL593/97,1,70.40932898303684,181.9252710169992,170.9801999409457,73.03735605517357
A,8,HL593/97,1,43.73088888659137,189.46281204659172,178.83703743881108,75.57587427285178
A,9,HL593/97,1,63.48325186313006,192.57642108878585,171.58061627536125,74.57712028654842
A,10,HL593/97,1,54.20259310531411,185.3473441345365,173.47941960623461,77.34070959803117
A,11,HL593/97,1,69.95391601999339,197.73629185424875,191.75859946539111,83.92535699212155
A,12,HL593/97,1,67.63727644729455,201.15644011006495,191.2859068191603,89.21601183011063
A,13,HL593/97,1,60.34945380861566,192.2882166607229,189.07317124336572,78.56711909207242
A,14,HL593/97,1,71.6360152395148,188.4880124621713,181.75641972203516,82.97374506097215
A,15,HL593/97,1,50.97769275645212,191.62358490566038,185.7024210047738,78.99039554444192
A,16,HL593/97,1,61.98174887644049,182.88647685256936,168.28741116301725,66.57729094250227
A,17,HL593/97,1,58.26803428247658,190.26334875725573,182.4032001695454,76.05125216347002
A,18,HL593/97,1,47.7118963410979,201.68787311648748,192.19864482725646,90.53803909782653
A,19,HL593/97,1,57.65936067535051,194.69667811363095,184.58709326442488,79.55231036006936
B,0,B68,1,56.3351565603877,168.2473166368515,168.48760683760685,59.767710196779966
B,1,B68,1,47.7237870581279,189.64719041689168,192.75169434556935,85.60622857961495
B,2,B68,1,55.36876063926096,183.27299006323398,170.03023486901535,78.08792231255646
B,3,B68,1,47.22097749858004,186.36390632448752,173.26385467980296,80.02929842682346
B,4,B68,1,41.371630604419956,185.52453928664468,172.76198081257715,84.06315765628008
B,5,B68,1,62.28754746004269,181.9496229419541,172.7093949044586,76.33826312943155
B,6,B68,1,65.47652282463756,180.75121839039792,159.05061074306334,65.05641302328873
B,7,B68,1,74.35981673715237,188.35100736526246,169.79463777717157,81.43388800124703
B,8,B68,1,83.95395921646104,182.10116094381948,166.99738009857379,71.07313618575101
B,9,B68,1,51.8447464370198,183.7095812548443,168.59831667229764,73.50496849971182
B,10,B68,1,68.58913384254217,174.81107760755654,171.71874103876468,75.46093553124375
B,11,B68,1,90.05257018980959,192.50722841528614,185.82423051821772,88.36355665719579
B,12,B68,1,68.04630510329876,183.2079210368039,178.59292429123445,80.9946116516853
