,hmotnost (g),šířka (mm),šířka (mm),výška (mm),čas
G18,133.80,64.50,66.92,61.84,12:36
G19,145.17,67.24,67.93,62.70,12:39
G20,222.93,79.53,81.45,76.17,12:42
H01,187.27,80.56,79.70,60.29,13:17
H02,169.94,76.98,72.69,59.31,13:19
H03,200.66,84.05,73.62,66.67,13:21
H04,213.93,82.53,78.50,67.35,13:23
H05,202.96,82.67,78.87,61.23,13:25
H06,173.69,77.17,76.58,63.10,13:29
H07,193.33,79.86,82.12,58.98,13:33
H08,265.28,88.21,88.56,66.90,13:35
H09,193.59,82.35,77.18,60.89,13:38
H10,197.32,79.85,80.27,61.82,13:40
H11,221.02,89.81,84.20,60.54,13:43
H12,204.09,83.91,82.67,60.63,13:46
H13,221.25,84.42,85.91,62.99,13:50
H14,207.77,85.16,78.29,65.27,13:52
H15,213.87,85.66,80.73,63.25,13:55
H16,222.83,84.32,83.50,61.55,13:58
H17,230.80,87.43,83.00,61.07,14:01
H18,221.11,87.20,82.94,62.88,14:03
H19,185.89,82.65,75.40,58.71,14:05
H20,209.34,82.02,83.45,62.78,14:07
I01,266.00,88.00,86.00,69.00,9:12
I02,238.00,83.00,79.00,69.00,9:15
I03,174.00,72.36,74.47,62.81,9:18
I04,237.66,80.31,75.91,80.02,9:21
I05,241.49,84.21,81.68,67.96,9:23
I06,241.18,87.24,80.98,75.78,9:27
I07,179.60,76.62,72.73,65.01,9:30
I08,187.63,79.79,75.06,62.22,9:33
I09,170.52,75.76,70.63,64.42,9:35
I10,200.56,79.00,76.43,67.62,9:39
I11,249.85,80.14,83.24,74.68,9:47
I12,203.61,80.42,77.71,63.80,9:49
I13,227.29,80.00,76.34,69.59,9:51
I14,168.93,79.54,67.45,60.65,9:53
I15,196.53,75.00,75.92,67.64,9:55
I16,229.18,81.83,75.56,74.51,9:58
I17,226.09,82.80,78.80,70.01,10:02
I18,221.51,78.60,75.03,73.09,10:04
I19,285.72,85.72,81.40,79.01,10:06
I20,221.61,79.75,80.44,67.68,10:08
J01,171.35,75.06,71.52,62.60,
J02,172.16,74.47,71.96,67.44,
J03,147.51,69.97,68.72,64.06,
J04,174.66,73.26,71.11,65.23,
J05,171.73,74.36,69.84,65.69,
J06,170.19,71.51,73.21,65.40,
J07,167.50,72.52,72.82,62.14,
J08,184.50,77.19,72.95,65.38,
J09,167.52,70.61,72.33,69.68,
J10,169.91,75.88,72.51,62.66,
J11,169.80,76.95,70.99,65.14,
J12,165.95,71.58,70.79,66.69,
J13,168.46,78.75,73.15,61.97,
J14,159.91,72.59,71.02,61.92,
J15,180.86,75.48,72.71,69.21,
J16,165.89,71.10,69.62,66.42,
J17,146.81,72.28,66.36,61.21,
J18,166.22,73.67,70.22,61.70,
J19,161.96,73.34,70.38,63.27,
J20,170.34,70.95,74.13,61.47,
K01,188.23,76.16,75.81,62.27,
K02,185.09,76.98,76.75,62.44,
K03,199.23,80.97,77.21,61.53,
K04,226.88,79.98,82.87,68.89,
K05,162.30,73.36,69.81,60.90,
K06,189.26,79.77,72.48,67.73,
K07,234.61,87.07,81.14,67.78,
K08,225.24,80.28,81.05,64.23,
K09,223.63,85.67,77.57,65.12,
K10,248.93,75.61,82.37,73.51,
K11,214.11,82.73,76.17,65.68,
K12,193.00,81.12,74.29,64.32,
K13,181.23,77.36,77.68,58.28,
K14,200.47,78.76,77.67,62.20,
K15,247.10,87.93,83.54,67.93,
K16,211.69,82.15,77.42,63.92,
K17,189.25,80.03,73.07,64.76,
K18,214.58,80.87,79.95,65.48,
K19,190.35,79.18,74.61,62.56,
K20,199.79,79.74,77.22,65.91,
L01,175,70,72,64,
L02,161,65,66,69,
L03,155,70,64,68,
L04,190,75,71,71,
L05,172,67,75,64,
L06,194,71,73,70,
L07,189,75,73,63,
L08,186,69,77,67,
L09,171,70,72,63,
L10,163,68,69,70,
