Label,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
L09,171.0,70.0,72.0,63.0,0.301,0.2698481986485365,0.34507622806301147,0.28268652883029977,0.3394384754266024
L10,163.0,68.0,69.0,70.0,0.301,0.2931465091581827,0.38267624828480945,0.29578758428503044,0.37385415756210155
L11,180.0,72.0,73.0,67.0,0.119,0.33477030903720006,0.4101545598276742,0.32090145461361413,0.37212700332625825
L12,206.0,71.0,74.0,72.0,0.119,0.33945509273362395,0.43611550023342277,0.35850213362277833,0.4308638456737709
L13,237.0,76.0,75.0,79.0,0.119,0.341458779269087,0.4018828911160862,0.3604804659224587,0.42044963280897535
L14,197.0,70.0,71.0,74.0,0.119,0.294002618657958,0.34616846206294305,0.2852862161469115,0.3321311730158082
L15,170.0,72.0,71.0,62.0,0.119,0.35369428269226194,0.4237751051823459,0.34891712701053673,0.39184481338450666
L16,155.0,65.0,68.0,64.0,0.119,0.3633406315821054,0.44139678397785825,0.35369428269226194,0.4256418725477674
L17,173.0,70.0,68.0,66.0,0.119,0.31384429064922675,0.36820972804289015,0.3509086689272973,0.41340037022483467
L18,213.0,75.0,76.0,69.0,0.119,0.341458779269087,0.4185727154258841,0.3633406315821054,0.3980641192008734
L19,170.0,73.0,65.0,67.0,0.119,0.31384429064922675,0.3980641192008734,0.32090145461361413,0.3930124679568735
L20,184.0,73.0,70.0,72.0,0.119,0.34616846206294305,0.44139678397785825,0.38687049416331215,0.4485200650735418
