Label,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
B01,193.18,82.87,81.33,67.55,0.301,0.26731233910197355,0.3323140856167728,0.2597688241639706,0.33788768397794916
B02,196.35,84.69,76.14,69.78,0.301,0.23532524131983362,0.32954223126190085,0.2800977426318378,0.3721545942051216
B03,197.15,85.84,78.73,67.82,0.301,0.25232192399677245,0.34350095284945664,0.22820511151912318,0.26860320494150386
B04,193.1,83.01,76.42,71.58,0.301,0.2800977426318378,0.33913685616696876,0.2813846272411951,0.37046637376513125
B05,158.23,77.35,75.41,62.92,0.301,0.2775194911608485,0.3519947562728903,0.2498612082846614,0.3323140856167728
B06,143.75,75.33,70.46,64.01,0.301,0.2474113252455068,0.3323140856167728,0.2377206010266351,0.33788768397794916
B07,141.43,73.22,70.94,62.76,0.301,0.2775194911608485,0.36634630646293437,0.25727575634352295,0.36057657288938666
B08,148.82,76.07,73.39,62.02,0.301,0.2474113252455068,0.36634630646293437,0.22585379598159336,0.34632239497751993
B09,184.2,81.93,78.01,67.42,0.301,0.2401269130377985,0.3212867733991859,0.2597688241639706,0.3225484404929769
B10,144.1,72.61,74.8,64.14,0.301,0.29179840567762233,0.3809388160716332,0.2775194911608485,0.40780109438392015
B11,173.69,78.58,78.99,65.78,0.119,0.2809750651283901,0.3556793527016932,0.2916800401674882,0.38192605359601306
B12,160.52,75.93,75.81,63.53,0.119,0.25783486948349654,0.28938473796850345,0.296050932778998,0.40505182901114745
B13,167.08,76.67,76.13,68.59,0.119,0.296050932778998,0.34616846206294305,0.296050932778998,0.37998825340974246
B14,174.34,80.33,74.36,68.15,0.119,0.2723455085688925,0.3295229434056542,0.2850785635507759,0.38192605359601306
B15,179.03,81.07,77.8,67.82,0.119,0.2850785635507759,0.3341355632208383,0.26816311929886877,0.30691741406365247
B16,142.0,70.14,68.42,64.45,0.119,0.3249407682415394,0.4120398905046307,0.294002618657958,0.3849407913279419
B17,132.36,69.4,72.14,56.01,0.119,0.31137736139274247,0.39184481338450666,0.3249407682415394,0.4171628606966794
B18,127.53,70.71,66.56,61.83,0.119,0.2980895663962269,0.39184481338450666,0.341458779269087,0.42044963280897535
B19,135.87,70.68,70.89,62.0,0.119,0.276695338690604,0.40505182901114745,0.2476207076158112,0.37701154048224167
B20,135.01,70.32,72.61,59.88,0.119,0.31137736139274247,0.36244804942496817,0.2850785635507759,0.3249407682415394
C01,145.72,70.19,67.43,63.85,0.301,0.14300419828318583,0.2723946939197729,0.18330771174161353,0.2813846272411951
C02,150.64,68.97,66.44,64.61,0.301,0.2029532174719386,0.2997177096997695,0.23532524131983362,0.3406893733254636
C03,145.38,66.53,71.11,64.55,0.301,0.21886635692781523,0.32954223126190085,0.19410799102211987,0.29442783846320797
C04,144.9,69.51,66.2,63.68,0.301,0.1963022787467532,0.3050487487339503,0.16662573436627304,0.3050487487339503
C05,140.85,68.85,67.31,62.22,0.301,0.18330771174161353,0.2931465091581827,0.1707267181080462,0.2762404667265006
C06,168.19,71.05,67.74,67.07,0.301,0.13857902854765541,0.26356464100660837,0.2178495054370218,0.33913685616696876
C07,165.32,74.28,69.31,63.77,0.301,0.2698481986485365,0.3548456198128659,0.19192508535282635,0.2585686630397972
C08,173.16,72.6,70.89,70.43,0.301,0.20873031220944635,0.2930773131256973,0.17405688562264332,0.25361546701747406
C09,161.99,71.18,71.79,62.03,0.301,0.2698481986485365,0.3780012082752026,0.2142637164270957,0.326780376400552
C10,162.93,71.14,67.33,67.96,0.301,0.24497229902002443,0.3158334921093337,0.20519281607831763,0.3519947562728903
C11,146.8,68.45,67.15,64.77,0.119,0.3556793527016932,0.4082581214548448,0.2745075617181131,0.36244804942496817
C12,228.75,81.86,79.16,79.2,0.119,0.19415336992148094,0.2221622727046771,0.28303149665373734,0.30691741406365247
