label,apple ID,variety,repetition,area (mm2),r,g,b
D,14,HL284,2,76.7472533807,207.8080045539,205.6256319206,111.5560901563
D,15,HL284,1,57.3574336627,183.2037623225,168.8474631455,75.1582346025
D,15,HL284,2,44.7155069095,197.2484866758,185.7023679755,97.9024282765
D,16,HL284,1,71.5272379403,188.0521471054,166.098826472,75.1505809473
D,16,HL284,2,67.7335547385,206.7325426173,201.0857717153,109.6958556457
D,17,HL284,1,67.7098777525,195.5275875833,184.4409714759,91.3158524978
D,17,HL284,2,75.360198928,208.3593363974,194.9558196348,100.1797855161
D,18,HL284,1,79.829520308,197.1519698589,186.3592808907,87.0794461972
D,18,HL284,2,75.9105965608,204.1853226845,185.2813403291,91.4441141417
D,19,HL284,1,67.0955223881,196.3249116498,183.5457560915,87.7004309009
D,19,HL284,2,62.7555465914,202.8470627227,186.1350070428,97.4408318833
E,0,Goldlane,1,116.7924377855,197.1011609513,194.4658640999,88.375999857
E,0,Goldlane,2,137.7008122104,209.0145639905,202.4395215122,94.0351583834
E,1,Goldlane,1,172.8652178432,184.9727842164,173.8072442279,73.0462311254
E,1,Goldlane,2,152.2134435733,203.6157846289,193.6779188305,92.5808809386
E,2,Goldlane,1,95.3607061699,184.9968935607,185.6920796736,80.2847970423
E,2,Goldlane,2,106.8879861081,201.4889906555,196.0815423823,94.1902785779
E,3,Goldlane,1,147.8308726912,188.2256977319,184.7325655338,78.8617042323
E,3,Goldlane,2,116.0338554676,205.807918548,201.9289273444,95.5950603515
E,4,Goldlane,1,130.3279089126,176.291088649,155.9606894563,52.6887995387
E,4,Goldlane,2,114.3055219477,183.6626565409,167.3730603527,64.169794443
E,5,Goldlane,1,109.7715282519,182.0604224146,173.168442584,71.8357625345
E,5,Goldlane,2,109.9832081614,193.7295434479,181.3606562046,80.501428802
E,6,Goldlane,1,116.77935769,192.9073868718,193.1200232517,81.8278662136
E,6,Goldlane,2,136.7882278901,206.5020807086,208.7403962891,100.8953308136
E,7,Goldlane,1,155.602435927,189.0242508496,183.9259714443,78.872365717
E,7,Goldlane,2,140.6728469176,198.2379958556,190.9100125519,84.5951975995
E,8,Goldlane,1,130.5961188524,178.6801252907,167.9123684568,64.0002317238
E,8,Goldlane,2,139.8093322587,201.9624065764,200.4040677055,90.5656634287
E,9,Goldlane,1,115.9155694302,189.7303239176,180.4038834077,75.7420822634
E,9,Goldlane,2,152.8518392663,200.8007523168,191.8976438806,86.3178538454
E,10,Goldlane,1,52.4314155498,185.9451919076,190.2288822399,90.2841658906
E,10,Goldlane,2,40.6449030775,204.163592233,211.0808380174,112.0296116505
E,11,Goldlane,1,61.2039097667,188.752985811,190.2868590289,89.7051958216
E,11,Goldlane,2,54.4982152607,196.2286128657,196.8940137015,97.9148331202
E,12,Goldlane,1,54.8717067659,176.6491450645,178.9668250933,76.4169017818
E,12,Goldlane,2,60.256004157,193.7165820643,197.6075486032,90.5014330605
E,13,Goldlane,1,73.2358828324,186.2129803587,193.991488756,98.6522060917
E,13,Goldlane,2,70.8139195124,201.9316877997,207.5283751581,111.3340737254
E,14,Goldlane,1,75.5325441005,189.1917685367,196.0298987279,95.6824691631
E,14,Goldlane,2,72.2891536159,192.7924400605,195.045374037,88.2037151703
E,15,Goldlane,1,59.6732404991,188.8209680238,192.7400139787,85.3344923991
E,15,Goldlane,2,66.7392066172,201.1296912337,203.103203236,95.291352356
E,16,Goldlane,1,75.0418080112,177.5499791753,180.6929196168,79.3373871998
E,16,Goldlane,2,72.1665946545,187.4169154229,186.7850746269,78.3245078953
E,17,Goldlane,1,83.0335644293,192.4612284864,197.207132904,95.2294530436
E,17,Goldlane,2,71.8500905364,201.6104771709,204.0328408415,104.2331047282
E,18,Goldlane,1,69.895238268,166.7031156916,160.0007297748,61.2240706541
E,18,Goldlane,2,68.3068772511,190.6443014426,186.8617219189,80.5127786758
E,19,Goldlane,1,68.2723304502,177.4601510643,178.6448615244,76.0635080491
E,19,Goldlane,2,61.4145178239,181.9504999153,177.6098796814,73.0114217929
F,0,Red Spring,1,164.4720644197,196.3182563386,194.3452945288,101.1386160005
F,0,Red Spring,2,144.1270883084,187.8165161552,166.2165190543,70.6584646383
F,1,Red Spring,1,140.6915630224,198.0165716706,199.0219667526,109.2719388855
F,1,Red Spring,2,99.6291718303,198.3166930438,198.0282671809,104.641770865
F,2,Red Spring,1,166.1816376917,198.1009152944,188.698651609,84.1111257995
F,2,Red Spring,2,145.1396729964,199.4080133123,175.3705040376,76.7662567804
F,3,Red Spring,1,140.4641038713,180.2897018224,159.9745429109,64.5782204594
F,3,Red Spring,2,115.4941906893,198.9900376416,184.1317094357,85.5268920337
F,4,Red Spring,1,112.9914527588,192.9686743872,178.4183243752,86.871456013
F,4,Red Spring,2,140.2317537062,204.2915806959,188.8914570469,94.7105570908
F,5,Red Spring,1,145.6442273552,197.1458538373,185.9898492109,93.2212340429
F,5,Red Spring,2,143.4671985362,203.2666773655,191.3127648865,96.4234537192
F,6,Red Spring,1,125.9709794847,190.6009879572,176.8713997994,80.1032299238
F,6,Red Spring,2,143.4436735293,208.7808584611,202.5887652242,109.7015648802
F,7,Red Spring,1,156.7117743767,189.1462849744,176.8952571017,80.5751548484
F,7,Red Spring,2,154.3444110831,200.8864441809,187.2429747586,88.9602303913
F,8,Red Spring,1,141.9282103151,184.2618410874,169.4627693668,76.6036541791
F,8,Red Spring,2,123.4055987671,197.1014941799,175.6356994709,80.1324021164
F,9,Red Spring,1,129.1696925704,184.989959222,169.2167384058,80.2391096799
F,9,Red Spring,2,126.0953246282,206.705504648,196.0675901838,101.01669456
F,10,Red Spring,1,47.0738795275,189.1962074218,186.4319962913,93.036336343
F,10,Red Spring,2,79.8908189446,203.8856070709,195.3008420282,100.1504798515
F,11,Red Spring,1,46.2517395868,181.2209542173,170.3243128111,82.8465763867
F,11,Red Spring,2,92.9784238512,202.2217077382,196.7180639953,101.1029441442
F,12,Red Spring,1,61.5976118075,176.259430617,169.9323899902,84.5900678802
F,12,Red Spring,2,50.5927513659,200.0420890622,193.6184896368,109.4561050687
F,13,Red Spring,1,55.0226575121,183.0396230335,183.5921547149,95.3831611551
F,13,Red Spring,2,62.8798869144,184.1255777737,167.9917827736,91.3673895396
F,14,Red Spring,1,65.4133543607,189.2871988813,183.1160935613,95.5500222462
F,14,Red Spring,2,82.2855174778,193.7373624843,178.9883910825,92.9300046841
F,15,Red Spring,1,67.6364891304,178.8266013182,164.261695884,73.0560173306
F,15,Red Spring,2,49.9389823189,182.7784142988,150.7839138405,70.1840263311
F,16,Red Spring,1,60.1163467957,176.8653576922,163.4438010958,79.8780787113
F,16,Red Spring,2,92.5146294633,189.8250338295,166.497631935,79.5263193505
F,17,Red Spring,1,68.8355172204,176.6237185109,166.6074031512,72.4421931231
